year,State,State.Minimum.Wage,State.Minimum.Wage.2020.Dollars,Federal.Minimum.Wage,Federal.Minimum.Wage.2020.Dollars,Effective.Minimum.Wage,Effective.Minimum.Wage.2020.Dollars,CPI.Average,Total Civilian Non-Institutional Population in State/Area,Total Civilian Labor Force in State/Area,Total Employment in State/Area,Total Unemployment in State/Area,Percent (%) of Labor Force Unemployed in State/Area,Real GDP (Biillion),Nominal GDP
1978,Michigan,2.2,8.73,2.2,8.73,2.2,8.73,65.2,6634500,4220907,3924036.917,296870.0833,7.033333333,2351.6,7052.7
1978,Minnesota,1.8,7.14,2.2,8.73,2.2,8.73,65.2,2907500,1976914,1899519.75,77394.25,3.908333333,2351.6,7052.7
1978,Mississippi,0,0,2.2,8.73,2.2,8.73,65.2,1722000,1010714.5,942483.9167,68230.58333,6.75,2351.6,7052.7
1978,Missouri,0,0,2.2,8.73,2.2,8.73,65.2,3581750,2264308.333,2153833.417,110474.9167,4.9,2351.6,7052.7
1978,Montana,1.8,7.14,2.2,8.73,2.2,8.73,65.2,564666.6667,363976.5833,343715.25,20261.33333,5.566666667,2351.6,7052.7
1978,Nebraska,1.6,6.35,2.2,8.73,2.2,8.73,65.2,1127166.667,752167.75,729958.6667,22209.08333,2.966666667,2351.6,7052.7
1978,Nevada,2.2,8.73,2.2,8.73,2.2,8.73,65.2,528750,373668.9167,357184.6667,16484.25,4.416666667,2351.6,7052.7
1978,New Hampshire,2.2,8.73,2.2,8.73,2.2,8.73,65.2,647833.3333,435646.4167,419021.6667,16624.75,3.816666667,2351.6,7052.7
1978,New Jersey,2.2,8.73,2.2,8.73,2.2,8.73,65.2,5497916.667,3461828.833,3211056.5,250772.3333,7.241666667,2351.6,7052.7
1978,New Mexico,2,7.93,2.2,8.73,2.2,8.73,65.2,866416.6667,531358.5833,498414.9167,32943.66667,6.191666667,2351.6,7052.7
1978,New York,2.3,9.12,2.2,8.73,2.3,9.12,65.2,13252750,7848742.833,7243140.583,605602.25,7.708333333,2351.6,7052.7
1978,North Carolina,2,7.93,2.2,8.73,2.2,8.73,65.2,4113166.667,2764700.083,2639238.917,125461.1667,4.541666667,2351.6,7052.7
1978,North Dakota,2,7.93,2.2,8.73,2.2,8.73,65.2,458750,295184.1667,282979.75,12204.41667,4.133333333,2351.6,7052.7
1978,Ohio,1.6,6.35,2.2,8.73,2.2,8.73,65.2,7891000,4955703.583,4681745.25,273958.3333,5.516666667,2351.6,7052.7
1978,Oklahoma,1.8,7.14,2.2,8.73,2.2,8.73,65.2,2112166.667,1269241.5,1227171.167,42070.33333,3.316666667,2351.6,7052.7
1978,Oregon,2.3,9.12,2.2,8.73,2.3,9.12,65.2,1862166.667,1209292.25,1135236.25,74056,6.116666667,2351.6,7052.7
1978,Pennsylvania,2.2,8.73,2.2,8.73,2.2,8.73,65.2,8938916.667,5302828.667,4932111.667,370717,7.008333333,2351.6,7052.7
1978,Rhode Island,2.3,9.12,2.2,8.73,2.3,9.12,65.2,714333.3333,450759.5,422293.25,28466.25,6.308333333,2351.6,7052.7
1978,South Carolina,0,0,2.2,8.73,2.2,8.73,65.2,2117666.667,1357619.167,1282004.833,75614.33333,5.558333333,2351.6,7052.7
1978,South Dakota,2,7.93,2.2,8.73,2.2,8.73,65.2,490000,322807,312587.6667,10219.33333,3.158333333,2351.6,7052.7
1978,Tennessee,0,0,2.2,8.73,2.2,8.73,65.2,3254166.667,1977647.083,1862280,115367.0833,5.841666667,2351.6,7052.7
1978,Texas,1.4,5.55,2.2,8.73,2.2,8.73,65.2,9535416.667,6229366.917,5924924.417,304442.5,4.866666667,2351.6,7052.7
1978,Utah,1.55,6.15,2.2,8.73,2.2,8.73,65.2,896750,569333.75,547334.6667,21999.08333,3.866666667,2351.6,7052.7
1978,Vermont,2.3,9.12,2.2,8.73,2.3,9.12,65.2,359833.3333,238170.0833,224683.75,13486.33333,5.658333333,2351.6,7052.7
1978,Virginia,2,7.93,2.2,8.73,2.2,8.73,65.2,3755666.667,2486839.25,2355642.5,131196.75,5.275,2351.6,7052.7
1978,Washington,2.2,8.73,2.2,8.73,2.2,8.73,65.2,2823333.333,1809880.417,1686692.25,123188.1667,6.808333333,2351.6,7052.7
1978,West Virginia,2,7.93,2.2,8.73,2.2,8.73,65.2,1412666.667,735385.75,688699.5833,46686.16667,6.341666667,2351.6,7052.7
1978,Wisconsin,2.1,8.33,2.2,8.73,2.2,8.73,65.2,3366333.333,2251926,2142762.083,109163.9167,4.866666667,2351.6,7052.7
1978,Wyoming,1.6,6.35,2.2,8.73,2.2,8.73,65.2,304250,210341.4167,204336.0833,6005.333333,2.858333333,2351.6,7052.7
1979,Alabama,0,0,2.9,10.33,2.9,10.33,72.6,2790583.333,1661265.583,1541183.583,120082,7.225,2627.3,7276
1979,Alaska,3.4,12.11,2.9,10.33,3.4,12.11,72.6,258166.6667,184688.5833,167977.25,16711.33333,9.058333333,2627.3,7276
1979,Arizona,0,0,2.9,10.33,2.9,10.33,72.6,1908083.333,1154785.583,1096215.167,58570.41667,5.075,2627.3,7276
1979,Arkansas,2.3,8.19,2.9,10.33,2.9,10.33,72.6,1646916.667,975865.3333,914588.9167,61276.41667,6.283333333,2627.3,7276
1979,California,2.9,10.33,2.9,10.33,2.9,10.33,72.6,17214166.67,11286602.83,10583914.58,702688.25,6.216666667,2627.3,7276
1979,Colorado,1.9,6.77,2.9,10.33,2.9,10.33,72.6,2069833.333,1435441.75,1369048.25,66393.5,4.616666667,2627.3,7276
1979,Connecticut,2.91,10.37,2.9,10.33,2.91,10.37,72.6,2339166.667,1563814.75,1484270,79544.75,5.083333333,2627.3,7276
1979,Delaware,2,7.13,2.9,10.33,2.9,10.33,72.6,439166.6667,281655.1667,261991.3333,19663.83333,6.975,2627.3,7276
1979,District of Columbia,2.46,8.76,2.9,10.33,2.9,10.33,72.6,501833.3333,329311.8333,306730.0833,22581.75,6.841666667,2627.3,7276
1979,Florida,0,0,2.9,10.33,2.9,10.33,72.6,7279416.667,4145804.417,3897760,248044.4167,5.991666667,2627.3,7276
1979,Georgia,1.23,4.38,2.9,10.33,2.9,10.33,72.6,3828666.667,2467422,2340944.5,126477.5,5.133333333,2627.3,7276
1979,Hawaii,2.65,9.44,2.9,10.33,2.9,10.33,72.6,644250,429250.9167,404701.5833,24549.33333,5.725,2627.3,7276
1979,Idaho,2.3,8.19,2.9,10.33,2.9,10.33,72.6,647916.6667,428660,403667.4167,24992.58333,5.825,2627.3,7276
1979,Illinois,2.3,8.19,2.9,10.33,2.9,10.33,72.6,8420333.333,5462836.417,5158606.75,304229.6667,5.583333333,2627.3,7276
1979,Indiana,2,7.13,2.9,10.33,2.9,10.33,72.6,3977750,2632583.667,2462979.583,169604.0833,6.433333333,2627.3,7276
1979,Iowa,0,0,2.9,10.33,2.9,10.33,72.6,2142083.333,1423085.833,1363558.667,59527.16667,4.175,2627.3,7276
1979,Kansas,1.6,5.7,2.9,10.33,2.9,10.33,72.6,1719250,1161399.167,1125341.083,36058.08333,3.108333333,2627.3,7276
1979,Kentucky,2,7.13,2.9,10.33,2.9,10.33,72.6,2619666.667,1613113.833,1523741.583,89372.25,5.533333333,2627.3,7276
1979,Louisiana,0,0,2.9,10.33,2.9,10.33,72.6,2905500,1721881.667,1607128.917,114752.75,6.65,2627.3,7276
1979,Maine,2.9,10.33,2.9,10.33,2.9,10.33,72.6,818416.6667,499195,466094.0833,33100.91667,6.625,2627.3,7276
1979,Maryland,2.9,10.33,2.9,10.33,2.9,10.33,72.6,3114500,2108667,1987096.5,121570.5,5.775,2627.3,7276
1979,Massachusetts,2.9,10.33,2.9,10.33,2.9,10.33,72.6,4338666.667,2856340.917,2699654.417,156686.5,5.483333333,2627.3,7276
1979,Michigan,2.9,10.33,2.9,10.33,2.9,10.33,72.6,6718333.333,4322513.833,3982188.25,340325.5833,7.866666667,2627.3,7276
1979,Minnesota,2.3,8.19,2.9,10.33,2.9,10.33,72.6,2957083.333,2045072.083,1956701.5,88370.58333,4.325,2627.3,7276
1979,Mississippi,0,0,2.9,10.33,2.9,10.33,72.6,1748333.333,1022970.667,964117.9167,58852.75,5.733333333,2627.3,7276
1979,Missouri,0,0,2.9,10.33,2.9,10.33,72.6,3620750,2305583.167,2195542.083,110041.0833,4.791666667,2627.3,7276
1979,Montana,2,7.13,2.9,10.33,2.9,10.33,72.6,571916.6667,369191.5,349938.6667,19252.83333,5.208333333,2627.3,7276
1979,Nebraska,1.6,5.7,2.9,10.33,2.9,10.33,72.6,1137750,758341.4167,736674,21667.41667,2.85,2627.3,7276
1979,Nevada,2.75,9.8,2.9,10.33,2.9,10.33,72.6,567666.6667,402121.1667,382570.5833,19550.58333,4.866666667,2627.3,7276
1979,New Hampshire,2.9,10.33,2.9,10.33,2.9,10.33,72.6,667583.3333,454051.1667,439784.5,14266.66667,3.133333333,2627.3,7276
1979,New Jersey,2.5,8.91,2.9,10.33,2.9,10.33,72.6,5553916.667,3561122.917,3316736.083,244386.8333,6.866666667,2627.3,7276
